"","Editd_g","Kill_cd","Distance"
"246",0,1,60957.11036027
"247",3,1,74903.31697399
"248",6,1,72569.70605094
"249",0,3,18893.1907503
"250",6,1,53193.67722223
"251",3,1,94069.46015006
"252",3,1,104157.00992074
"253",4,1,104157.00992074
"254",5,1,108630.71494315
"255",10,1,108630.71494315
"256",7,1,223953.31419708
"257",4,1,193979.4468297
"258",5,1,193979.4468297
"259",5,1,108621.37382224
"260",3,1,79765.07068011
"261",6,1,48890.58726923
"262",6,1,193594.97093211
"263",10,1,193594.97093211
"264",8,1,211074.44531007
"265",17,1,71355.65105939
"266",3,1,209949.26760635
"267",3,1,228949.03133094
"268",14,1,25210.6034076
"269",22,1,184287.70783495
"270",7,1,35530.77461224
"271",20,1,135924.83136458
"272",4,1,229980.27453497
"273",2,1,166060.67173814
"274",2,1,222991.27341197
"275",5,1,222991.27341197
"276",0,1,55371.84546318
"277",4,1,62310.11666842
"278",2,1,88475.39165275
"279",3,1,86094.41443953
"280",19,1,95637.06468452
"281",2,1,165605.2352254
"282",12,1,231092.36382178
"283",3,1,22028.96969493
"284",5,1,105440.24331788
"285",9,1,22028.96969493
"286",5,1,22028.96969493
"287",4,1,18195.33412204
"288",8,1,22028.96969493
"289",4,1,22028.96969493
"290",4,1,28110.35431124
"291",15,1,28110.35431124
"292",3,1,10603.70721726
"293",12,1,191452.05623943
"294",6,1,168050.6592794
"295",16,1,204940.37358456
"296",11,1,205922.74922635
"297",6,1,179650.90863056
"298",2,1,168344.92855495
"299",2,1,30760.10268335
"300",18,1,78817.04837713
"301",5,1,107517.0263565
"302",4,1,88019.27663165
"303",15,1,92455.21448399
"304",3,1,69095.51119953
"305",5,1,93103.92691537
"306",3,1,77131.58861434
"307",8,1,175257.59873665
"308",8,1,204402.67996414
"309",25,1,116480.03458376
"310",7,1,117840.90106422
"311",0,1,171200.89127022
"312",3,1,190069.8573132
"313",6,1,116127.45964404
"314",16,1,99097.21486039
"315",6,1,194303.28211152
"316",5,1,182068.14670433
"317",3,1,62085.8638055
"318",3,1,88723.0514212
"319",19,1,21078.52756397
"320",12,1,56809.89466092
"321",5,1,224019.14102383
"322",23,1,217986.50854515
"323",4,1,37827.84289067
"324",4,1,210222.58429088
"325",5,1,98467.31317177
"326",4,1,49616.44368436
"327",4,1,38542.46438639
"328",7,1,90875.16569651
"329",8,1,90875.16569651
"330",3,1,72847.6764461
"331",11,1,46016.59856588
"332",13,1,28492.70256453
"333",3,1,50440.77492564
"334",6,1,94419.35813894
"335",2,1,82000.19771388
"336",2,1,90414.36398456
"337",4,1,82670.36873423
"338",3,1,98020.04798654
"339",27,1,83971.32383943
"340",7,1,166365.80930505
"341",7,1,166365.80930505
"342",3,1,16643.79780924
"343",8,1,31385.46992525
"344",4,1,35367.80256346
"345",5,1,55718.97651067
"346",4,1,157292.00860451
"347",9,1,171888.48301256
"348",2,1,82913.08526712
"349",9,1,103568.78911634
"350",22,1,75711.61715484
"351",10,1,217119.50891329
"352",7,1,205028.01083357
"353",12,1,211397.91306345
"354",12,1,97892.9339597
"355",6,1,67626.81605599
"356",12,1,83045.95548476
"357",2,1,167588.79836957
"358",7,1,160678.80039206
"359",2,1,22621.65723126
"360",4,1,84531.05289291
"361",13,1,176286.66689943
"362",2,1,42129.7760904
"363",6,1,60430.2164589
"364",10,1,242676.39660701
"365",11,1,241960.82698914
"366",0,1,44023.56042935
"367",7,1,190463.10471816
"368",13,1,87756.50149453
"369",2,1,39110.67774612
"370",8,1,86790.72035586
"371",5,1,86013.30125727
"372",19,1,228937.22191636
"373",5,1,101256.56877145
"374",5,1,108427.37080953
"375",5,1,108630.71494315
"376",8,1,205942.15646003
"377",0,2,561.98621402
"378",13,1,78204.85891287
"379",2,1,21817.01622098
"380",8,1,76440.29343694
"381",13,1,57579.58006768
"382",4,1,111243.1042226
"383",5,1,203917.06492617
"384",2,1,195409.18912518
"385",7,1,112966.42439761
"386",4,1,37282.78040545
"387",22,1,94346.37099284
"388",6,1,94581.30355667
"389",5,1,170514.19378691
"390",9,1,87056.41691046
"391",12,1,76621.10498454
"392",5,1,82757.98827991
"393",7,1,12320.32700187
"394",12,1,211951.61672511
"395",0,1,77643.31138974
"396",2,1,49096.45920767
"397",2,1,44825.20446129
"398",2,2,59904.76688827
"399",3,1,43010.08860123
"400",5,1,73981.10804335
"401",15,1,11839.73480161
"402",4,1,19606.31968478
"403",25,1,108214.43277329
"404",9,1,14640.12659909
"405",5,1,52581.48983865
"406",3,1,105554.54621362
"407",0,1,162209.97530933
"408",3,1,106448.3037376
"409",10,1,182301.21545204
"410",9,1,184760.31183048
"411",2,1,160632.22428443
"412",4,1,107030.88901486
"413",7,1,80180.67757451
"414",13,3,157133.66374695
"415",2,1,35758.0091141
"416",4,1,222613.11471669
"417",7,1,43825.98306823
"418",4,1,180401.17389431
"419",20,1,206998.60082915
"420",22,1,59412.84482005
"421",2,1,170408.32592747
"422",8,1,96904.16346671
"423",2,1,91385.67001183
"424",7,1,85827.10712266
"425",5,2,69514.80381826
"426",7,1,90061.05476312
"427",9,1,230027.13686539
"428",4,1,63488.84946562
"429",13,1,73981.10804335
"430",13,1,208899.33083538
"431",17,1,210733.64097582
"432",10,1,212115.71203893
"433",12,1,219216.2077943
"434",4,1,72471.5744481
"435",5,2,78099.17700509
"436",18,1,31767.01448777
"437",18,1,57854.18913739
"438",0,1,97962.37133519
"439",12,1,56866.71953533
"440",2,1,33736.45024924
"441",2,1,85709.27363791
"442",14,1,204168.66190736
"443",5,1,205066.94430955
"444",18,1,185716.05808933
"445",7,1,60656.78239844
"446",3,1,163076.33868138
"447",0,1,161351.32162694
"448",3,1,202917.16327136
"449",3,1,58342.62276824
"450",0,1,181339.11732974
"451",5,1,159507.85152537
"452",4,1,182110.23088938
"453",6,1,204553.8859027
"454",4,1,167180.13602775
"455",3,1,60789.63486283
"456",17,1,56467.82297025
"457",4,1,230001.53651845
"458",12,1,109229.01606804
"459",13,1,100326.36656265
"460",5,1,228089.32043206
"461",12,1,193900.26651468
"462",3,1,163352.1661283
"463",5,1,90841.04755604
"464",4,1,31051.95464859
"465",8,1,165082.81439472
"466",8,1,46678.19067819
"467",4,1,40795.82500389
"468",2,1,78446.7040224
"469",5,1,101172.66192302
"470",9,1,91628.48328364
"471",4,1,225999.77794288
"472",4,1,83254.66988532
"473",2,1,28026.86254253
"474",2,1,84531.05289291
"475",3,2,96186.73753039
"476",33,1,39110.67774612
"477",13,1,65726.27820485
"478",5,1,44576.56539128
"479",5,1,75745.70546201
"480",3,1,62658.51804099
"481",2,1,58299.45867157
"482",7,1,168570.68909775
"483",6,1,18692.15328851
"484",13,1,115042.35849888
"485",17,1,96251.19484509
"486",5,1,18462.83426056
"487",6,1,198931.27530751
"488",5,1,190959.96283866
"489",10,1,45423.10434747
"490",7,1,167310.51218581
"491",4,1,85341.75669877
"492",0,2,101167.12405257
"493",22,1,101440.04310934
"494",4,1,22967.65559072
"495",6,1,109870.02552614
"496",16,1,109247.54147721
"497",8,1,103930.93716642
"498",6,1,30569.6845264
"499",10,1,67027.76817568
"500",4,1,87756.50149453
"501",4,1,94624.17869676
"502",4,1,67829.81303285
"503",3,1,177934.40410916
"504",5,1,182497.4569181
"505",8,1,76213.80071707
"506",7,1,106155.72990269
"507",5,1,208946.78047076
"508",13,1,51763.97484943
"509",5,1,94843.87236804
"510",4,1,75711.61715484
"511",7,1,69876.42468839
"512",4,1,66798.60861696
"513",0,1,32738.17854204
"514",3,1,81987.51898475
"515",6,1,174239.17346821
"516",9,1,79605.02342514
"517",12,1,74491.91984447
"518",9,1,220789.55249624
"519",5,1,178006.29682811
"520",4,1,183544.40906618
"521",6,1,60736.37077716
"522",6,1,73702.23331803
"523",4,2,76138.79407259
"524",6,1,198895.25258855
"525",7,1,169924.37005355
"526",24,1,78804.30605778
"527",4,1,19612.05895855
"528",6,1,53410.79793591
"529",6,1,205014.20173953
"530",2,1,175054.05776124
"531",3,1,163451.81939316
"532",14,3,30429.39449706
"533",4,1,42783.57902909
"534",4,1,46258.3120823
"535",11,1,82876.98429405
"536",5,1,47718.65225342
"537",12,1,109421.80916686
"538",8,1,50255.74151965
"539",14,1,93783.25433335
"540",10,1,92923.45244019
"541",22,1,90183.56198014
"542",7,1,160632.22428443
"543",19,1,106155.72990269
"544",4,1,69126.88185812
"545",8,1,49440.70976332
"546",6,1,89690.34571817
"547",5,1,25284.26111018
"548",8,1,59666.32906809
"549",5,1,191452.05623943
"550",13,1,109229.27474191
"551",17,1,118410.06502374
"552",16,1,110079.58614853
"553",20,2,4404.30468193
"554",6,1,1252.92688086
"555",4,1,47453.94466177
"556",4,1,81502.42209014
"557",3,1,104296.76295876
"558",0,1,91448.07441776
"559",9,1,88473.70544168
"560",4,1,110606.74757678
"561",4,1,94451.27188091
"562",7,1,48375.08389361
"563",16,1,49538.51442254
"564",19,1,170512.71868711
"565",5,1,174091.39036876
"566",5,1,181378.73065773
"567",0,1,168344.92855495
"568",15,1,61648.32762732
"569",10,1,78099.17700509
"570",5,1,83045.95548476
"571",3,1,78930.16659122
"572",16,1,91448.07441776
"573",5,1,71716.09354845
"574",7,1,119363.61357103
"575",3,1,5625.1596505
"576",2,1,186270.43603582
"577",2,1,173256.23262325
"578",12,1,171493.83447489
"579",3,1,171701.85667775
"580",8,1,181159.33289213
"581",2,1,171886.82618752
"582",0,1,218155.7671914
"583",12,2,14911.90996515
"584",5,1,77026.05941127
"585",9,1,60350.93926695
"586",3,1,77026.05941127
"587",12,1,106993.09891206
"588",7,1,176048.31578047
"589",9,1,219464.64613492
"590",16,1,46973.17283998
"591",20,1,89841.49498671
"592",11,1,163476.74417793
"593",6,1,230530.49186317
"594",19,1,116299.52717702
"595",9,1,63504.37459288
"596",7,1,21110.71260958
"597",15,1,93039.97405816
"598",9,1,42979.36370373
"599",5,1,86570.92656398
"600",5,1,86570.92656398
"601",14,1,60573.85897104
"602",3,1,22133.60361084
"603",5,1,226087.30177078
"604",5,1,174438.61837082
"605",0,1,100872.08038186
"606",2,1,184016.84531269
"607",8,1,57813.55007625
"608",3,1,43653.50894226
"609",19,1,56981.61106382
"610",14,1,35906.17913955
"611",4,1,79766.52354639
"612",3,1,114972.64150769
"613",5,2,4404.30468193
"614",3,1,162344.24695426
"615",6,1,162344.24695426
"616",4,1,81521.58682915
"617",13,1,91613.89889984
"618",13,1,177448.471077
"619",7,1,169432.70334873
"620",9,1,180180.60523524
"621",11,1,88506.28268647
"622",3,1,183717.67864564
"623",10,1,45968.73296092
"624",16,1,163203.81077395
"625",7,1,182730.8059763
"626",5,1,18265.60981724
"627",7,1,44895.4252604
"628",2,4,14891.5850791
"629",1,5,182090.79627019
"630",6,1,92409.98878623
"631",4,1,212003.14384128
"632",7,1,176724.4343428
"633",2,1,76996.73224895
"634",0,1,109091.38133253
"635",2,1,56102.00943624
"636",4,2,52855.7971352
"637",0,1,111617.76060263
"638",4,1,8245.97397058
"639",14,1,54735.49507419
"640",12,1,24667.46193929
"641",4,1,160355.39687751
"642",3,1,162630.83909088
"643",18,1,190622.02716889
"644",10,1,160441.51282241
"645",3,1,112414.64189889
"646",3,1,96700.9587133
"647",5,1,192360.81915199
"648",7,1,87275.80837659
"649",14,1,162941.39215765
"650",9,1,44115.7373759
"651",6,1,7611.5585533
"652",17,1,19883.91855355
"653",0,1,174541.69954496
"654",15,1,182905.64119981
"655",14,1,114246.88267801
"656",23,2,4372.39382359
"657",7,2,4372.39382359
"658",7,1,153715.11790752
"659",5,1,178368.19829244
"660",6,1,54019.59384056
"661",2,1,37099.02305926
"662",3,1,20825.56388739
"663",3,1,24271.90131057
"664",12,1,54754.32138249
"665",15,1,49710.40921107
"666",0,1,4848.56203519
"667",17,1,24507.71437268
"668",12,1,53382.74663513
"669",0,1,41403.23486288
"670",14,1,95940.34761319
"671",11,1,36542.87382548
"672",4,1,236231.21432572
"673",13,1,94419.35813894
"674",4,1,44337.80883177
"675",6,1,165533.39412042
"676",3,1,82044.56951378
"677",3,1,88860.80575757
"678",0,1,217661.05416502
"679",0,1,59013.07531816
"680",13,1,21620.88088406
"681",11,1,162081.74055163
"682",9,1,171345.12340951
"683",8,1,64905.20073665
"684",6,1,45647.66581866
"685",21,1,27940.92660677
"686",12,1,32516.27228462
"687",9,1,57846.42872297
"688",8,1,166365.80930505
"689",5,1,163203.81077395
"690",9,1,79967.89887446
"691",3,1,184534.0874117
"692",0,1,43178.18471013
"693",3,1,181744.09953609
"694",6,1,210734.60705587
"695",6,1,73122.19193903
"696",6,1,60579.31386178
"697",3,1,83323.69232783
"698",10,1,20174.49101101
"699",15,1,261999.15290668
"700",22,1,209452.88127713
"701",8,1,81063.16087018
"702",7,1,39848.12149538
"703",0,1,15626.59355826
"704",6,1,21319.64062412
"705",13,1,47820.56898246
"706",17,1,36594.93170089
"707",0,1,110498.0713497
"708",0,1,100984.05827539
"709",0,1,109091.38133253
"710",0,1,163233.10858857
"711",0,1,190100.33532605
"712",0,1,196241.55497859
"713",3,2,44163.58678329
"714",0,1,75881.63238918
"715",0,1,103462.06705207
"716",0,1,197637.12442013
"717",0,1,163622.17481962
"718",0,1,179256.34516943
"719",0,1,96484.32435426
"720",0,1,167329.43171586
"721",0,1,169719.0353184
"722",0,1,19568.30493983
"723",2,1,120562.31604527
"724",15,1,106447.37725731
"725",2,1,119159.893475
"726",7,1,107423.16112705
"727",3,1,110323.04214852
"728",5,1,113623.66521988
"729",2,1,101042.72430192
"730",4,2,100970.54011666
"731",8,1,134164.88466767
"732",3,1,108943.90220277
"733",26,1,125381.52742877
"734",4,1,118390.10632464
"735",2,1,126268.35174251
"736",15,1,117977.33571331
"737",6,1,140992.72199233
"738",11,1,117199.84166276
"739",17,1,119368.5754724
"740",5,1,144610.08104373
"741",3,1,142723.46343487
"742",3,1,141766.50271748
"743",20,1,125605.27337092
"744",5,1,123084.25289242
"745",18,1,104605.76664041
"746",6,1,123938.50316344
"747",16,1,143637.84457638
"748",10,1,137783.84521826
"749",6,1,125366.93215853
"750",5,2,139721.53860916
"751",6,1,107894.61012027
"752",7,1,106052.06019203
"753",9,1,96398.8248815
"754",11,1,120347.43245445
"755",4,1,121326.66796326
"756",10,1,118010.0357178
"757",15,1,136826.59179101
"758",6,1,105635.90665823
"759",8,1,120646.04514079
"760",6,1,122569.06221046
"761",5,1,116236.00690569
"762",13,1,108026.62696919
"763",7,1,109903.83424404
"764",2,1,116236.00690569
"765",0,1,113351.10972475
"766",0,1,17972.80511035
"767",4,1,35621.21842795
"768",0,1,37032.63812822
"769",7,1,18970.8980398
"770",7,1,31716.61846071
"771",4,1,30783.5783403
"772",9,1,34967.96657314
"773",9,1,32150.98613733
"774",0,1,36377.15009124
"775",0,9,14350.51335743
"776",7,1,30661.15321811
"777",12,1,34741.87765737
"778",3,1,2312.27299273
"779",2,1,16263.98420386
"780",16,1,3723.79532736
"781",7,1,47954.92342477
"782",3,1,45244.66969272
"783",3,1,42907.97354473
"784",5,1,67886.68838109
"785",5,1,57201.61139731
"786",6,1,14502.07434902
"787",9,1,28219.57928551
"788",6,1,25147.10345409
"789",5,3,31636.07469707
"790",4,1,12670.17860416
"791",2,2,29888.08689077
"792",0,1,22131.48047376
"793",3,1,46260.32422667
"794",2,1,29242.9501996
"795",9,1,61330.79910135
"796",6,1,22407.03454314
"797",0,1,76272.33260683
"798",7,1,46380.47882501
"799",66,2,3150.94971791
"800",66,2,3150.94971791
"801",66,2,3150.94971791
"802",3,1,27711.61899692
"803",16,1,51659.35898482
"804",5,1,29512.11689712
"805",0,1,7587.00394679
"806",4,1,19571.16910119
"807",5,1,66022.24452529
"808",7,1,62911.4879045
"809",8,1,45551.6514878
"810",0,1,13596.63819196
"811",5,1,40449.36170524
"812",7,1,69138.32804292
"813",5,1,9328.0601128
"814",4,1,25895.22475047
"815",2,1,15477.17993678
"816",12,1,31193.97425351
"817",5,1,19323.70255016
"818",10,1,62755.0111385
"819",3,1,25562.12081781
"820",11,1,43657.10977614
"821",14,1,61645.68893764
"822",6,1,13078.97645706
"823",5,1,35844.42703812
"824",6,1,8549.42226726
"825",3,2,29685.13077754
"826",3,4,9618.02261101
"827",2,1,20857.16116186
"828",4,1,21842.55692362
"829",2,5,2632.41077112
"830",16,1,68879.2831326
"831",3,1,48678.35583268
"832",20,1,11850.32156432
"833",5,1,7282.5386295
"834",5,1,35146.4446444
"835",2,1,21863.24242562
"836",0,1,50029.17932375
"837",6,1,32309.00785224
"838",0,1,67677.89077823
"839",0,2,29739.47764015
"840",0,3,29521.39810283
"841",0,1,27681.23452105
"842",3,1,43005.42641271
"843",16,1,28884.64002208
"844",3,1,25303.9184193
"845",9,1,55618.7162547
"846",4,2,18968.06241371
"847",8,1,14728.25218319
"848",3,1,72841.64382242
"849",0,1,21801.05845572
"850",0,1,14003.9371384
"851",3,1,27508.57482863
"852",3,1,32524.53356888
"853",1,1,58817.01825829
"854",0,1,60144.1243597
"855",2,1,20504.63658152
"856",12,1,22857.34036734
"857",0,2,38345.0129527
"858",0,1,28372.30082712
"859",20,2,28705.39605051
"860",1,2,28705.39605051
"861",1,2,28705.39605051
"862",6,1,32627.94798412
"863",4,1,19519.3866597
"864",2,1,19519.3866597
"865",2,1,32271.28151866
"866",22,1,21001.15317051
"867",5,1,19549.09512764
"868",16,1,36407.8542547
"869",0,1,19519.3866597
"870",2,1,19519.3866597
"871",0,1,19260.56935636
"872",2,1,45988.24698793
"873",6,2,54494.91070395
"874",25,2,28915.2317163
"875",20,2,28915.2317163
"876",0,2,28915.2317163
"877",1,2,28915.2317163
"878",1,2,28915.2317163
"879",2,2,28915.2317163
"880",7,2,28915.2317163
"881",1,2,28915.2317163
"882",8,2,28915.2317163
"883",8,2,28915.2317163
"884",5,1,22131.48047376
"885",1,1,30311.67796643
"886",1,2,1837.73962188
"887",1,2,1837.73962188
"888",12,2,29158.08117979
"889",8,2,29158.08117979
"890",4,2,29158.08117979
"891",0,2,29158.08117979
"892",1,2,29158.08117979
"893",1,2,29158.08117979
"894",8,2,29158.08117979
"895",5,1,39354.55489696
"896",19,2,29158.08117979
"897",15,2,29158.08117979
"898",3,2,29158.08117979
"899",12,2,29158.08117979
"900",16,2,29158.08117979
"901",2,2,29158.08117979
"902",18,2,29158.08117979
"903",10,2,29158.08117979
"904",9,2,29158.08117979
"905",10,2,29158.08117979
"906",1,2,29158.08117979
"907",11,2,29158.08117979
"908",4,2,29158.08117979
"909",2,2,29158.08117979
"910",0,2,29158.08117979
"911",14,2,29158.08117979
"912",8,2,29158.08117979
"913",1,2,29158.08117979
"914",13,2,29158.08117979
"915",0,2,29158.08117979
"916",3,1,25756.15287146
"917",7,1,14003.9371384
"918",5,1,23408.08091272
"919",13,1,39735.16535399
"920",15,1,27892.90859735
"921",2,1,29244.9118654
"922",9,2,922.37576431
"923",17,2,29158.08117979
"924",6,1,64857.65172662
"925",14,1,71859.37143314
"926",3,1,51741.46849389
"927",17,1,61947.14681082
"928",8,1,56222.13452816
"929",66,3,910.77507838
"930",6,1,29244.9118654
"931",5,1,29244.9118654
"932",17,1,47885.61600364
"933",0,1,44696.82226372
"934",3,1,31647.00952117
"935",11,1,56222.13452816
"936",9,1,75614.85073563
"937",4,1,20282.45320465
"938",11,1,77697.5800772
"939",2,2,922.37576431
"940",2,2,922.37576431
"941",9,1,17573.54298293
"942",5,3,16688.11213917
"943",5,1,18628.44999848
"944",9,1,80297.75924546
"945",7,1,23625.44447279
"946",5,2,12608.36608454
"947",3,1,7587.00394679
"948",3,2,2805.96300996
"949",22,2,29158.08117979
"950",0,2,3150.94971791
"951",2,2,30666.02930762
"952",9,1,31283.16233478
"953",0,1,26089.54143351
"954",0,2,32799.72320354
"955",5,1,31865.20671892
"956",0,1,25429.47531136
"957",6,2,39849.75894665
"958",4,1,39831.07145982
"959",4,1,57992.3968222
"960",3,1,30264.27390777
"961",5,1,27688.03652869
"962",0,1,43657.10977614
"963",7,1,30125.63552099
"964",15,1,28589.90232211
"965",0,1,11871.48507442
"966",19,1,40242.72745883
"967",10,1,37257.30935447
"968",0,1,23901.86552871
"969",0,1,36410.21178571
"970",5,1,28884.64002208
"971",13,1,33718.05745904
"972",9,1,41796.74137982
"973",3,1,27277.9508767
"974",10,1,33349.64913114
"975",2,1,50012.13013328
"976",16,1,32845.53398631
"977",4,1,47181.84839263
"978",66,2,31090.17263742
"979",66,2,31090.17263742
"980",66,2,31090.17263742
"981",66,2,31090.17263742
"982",66,2,31090.17263742
"983",0,1,25899.65272224
"984",0,1,41488.05587688
"985",13,1,17630.25347394
"986",16,1,33713.09367161
"987",16,1,24769.52938713
"988",0,2,31090.17263742
"989",0,2,31090.17263742
"990",2,1,62800.86929398
"991",9,1,44790.55996634
"992",6,1,40449.36170524
"993",0,2,23250.54606875
"994",4,1,21984.89506265
"995",3,1,21648.10036343
"996",11,1,42062.09071541
