"","GBPU","Year","LateACKills","TotalACKills","salmon_biomass","salmon_biomass_geo_mean","spring_precip","summer_precip","spring_mean_temp","summer_mean_temp","Latitude","Longitude","human_pop_2011","salmon_estimated","grizzly_pop_est","GBPU_usable_area","normals_mean_spring_precip","normals_mean_summer_precip","normals_mean_spring_temp","normals_mean_summer_temp","prev_3yr_conflict","prev_3yr_hunts"
"1","Alta",1980,0,0,NA,NA,70.1423401688782,274.044632086852,2.77563329312425,13.1606755126659,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,NA,NA
"2","Alta",1981,1,1,NA,NA,125.478890229192,133.00482509047,2.80530759951749,14.2022919179735,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,NA,NA
"3","Alta",1982,0,0,NA,NA,117.158021712907,211.32810615199,-0.941857659831122,13.8755126658625,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,NA,NA
"4","Alta",1983,0,0,NA,NA,86.6079613992762,241.422195416164,0.0669481302774427,13.5108564535585,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,1,14
"5","Alta",1984,0,0,NA,NA,143.881785283474,287.29312424608,2.24209891435464,13.0679131483715,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,1,13
"6","Alta",1985,0,0,NA,NA,42.2086851628468,209.284680337756,2.61001206272618,12.8336550060314,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,0,10
"7","Alta",1986,2,2,NA,NA,103.172496984318,138.202653799759,0.879975874547648,13.4495778045838,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,0,10
"8","Alta",1987,0,0,NA,NA,99.1966224366707,361.096501809409,1.17382388419783,12.9494571773221,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,2,8
"9","Alta",1988,0,0,NA,NA,180.424607961399,283.184559710495,3.19276236429433,13.0443908323281,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,2,11
"10","Alta",1989,0,0,NA,NA,107.082026537998,206.774427020507,-0.0487334137515078,14.8056694813028,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,2,13
"11","Alta",1990,0,0,NA,NA,141.531966224367,165.125452352232,3.01628468033776,14.2640530759952,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,0,13
"12","Alta",1991,0,0,NA,NA,95.4680337756333,228.278648974668,2.75259348612786,13.6669481302774,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,0,11
"13","Alta",1992,0,0,NA,NA,76.3920386007238,187.840772014475,2.80144752714113,13.6022919179735,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,0,10
"14","Alta",1993,0,0,NA,NA,73.7406513872135,261.879372738239,3.8189384800965,12.8805790108565,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,0,14
"15","Alta",1994,0,0,NA,NA,80.4607961399276,241.395657418577,3.77937273823884,14.8144752714113,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,0,15
"16","Alta",1995,0,0,NA,NA,73.9819059107358,252.095295536791,0.884318455971049,13.3225572979493,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,0,11
"17","Alta",1996,1,1,NA,NA,83.065138721351,279.03015681544,-0.767551266586249,12.9062726176116,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,0,5
"18","Alta",1997,0,0,NA,NA,105.031363088058,400.738238841978,-0.717008443908323,13.6092882991556,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,1,5
"19","Alta",1998,1,1,NA,NA,82.5862484921592,257.074788902292,4.44571773220748,14.7767189384801,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,1,7
"20","Alta",1999,0,0,NA,NA,122.470446320869,229.6164053076,1.8291917973462,13.0462002412545,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,2,9
"21","Alta",2000,1,1,NA,NA,77.6115802171291,242.240048250905,1.56731001206273,12.7147165259349,57.5164256007238,-122.048499010856,1166.67630122939,FALSE,132,13162008929.3,102.832328106152,238.97466827503,1.45778045838359,13.6006031363088,1,5
