"Year","Month","Species","Severity"
2013.00,8.00,"Black","Minor"
2013.00,9.00,"Grizzly","Severe"
2013.00,11.00,"Black","Stiches"
2014.00,5.00,"Black","Stitches"
2014.00,7.00,"Black","Minor"
2014.00,7.00,"Black","Minor"
2014.00,9.00,"Grizzly","Minor"
2014.00,9.00,"Grizzly","Stitches"
2014.00,10.00,"Grizzly","Severe"
2014.00,10.00,"Black","Minor"
