"","(Intercept)","log_annual_precip_scaled","log_grizzly_pop_est_scaled","log_humanpop_scaled","mean_annual_temp_scaled","mean_temp_scaled","salmon_estimated","total_log_precip_scaled","year_centered","offset(log(gbpu_usable_area))","prev_3yr_conflict_scaled","prev_3yr_scaled","df","logLik","AICc","delta","weight"
"7",-24.2378774697423,NA,0.979567212330572,1.21679386203815,NA,0.554524732706575,"+",-0.756373460334834,0.031953633911894,"+",0.209159347272582,NA,10,-1234.06,2488.2754770318,0,0.407535842843508
"8",-24.2380020657979,NA,0.976909905743618,1.22275263707115,NA,0.547881921675444,"+",-0.763529226430702,0.0355528749597222,"+",NA,NA,9,-1235.61,2489.34711864407,1.07164161226547,0.238485397151669
"6",-24.2377705901275,NA,0.980695148665911,1.2153016025352,NA,0.556723491042398,"+",-0.757905906601441,0.0320793485052535,"+",0.209800371178972,0.0101049886003524,11,-1234.06,2490.30670438472,2.03122735292209,0.147601372403521
"5",-24.2380385407887,NA,0.976496626978389,1.22325474475653,NA,0.547149487563067,"+",-0.763010619060241,0.0355080276468683,"+",NA,-0.00337961563417753,10,-1235.61,2491.3754770318,3.09999999999991,0.0864986569053124
"4",-24.2375725066181,0.0442159177266412,0.99222025737453,1.21968035581969,-0.0357058813672309,0.575410420322853,"+",-0.817154393587667,0.0317388136812048,"+",0.20681069319732,NA,12,-1234.04,2492.30080679406,4.02532976225302,0.0544598648489043
"1",-24.2375214387616,0.0758537954132898,1.00576679042755,1.22887853126466,-0.0803192764927934,0.59484318592412,"+",-0.878322547566891,0.0350610913263379,"+",NA,NA,11,-1235.54,2493.26670438472,4.99122735292212,0.0335996352162153
"2",-24.2374496068005,0.0457871449161843,0.994473510442617,1.21816718649379,-0.0376315845027008,0.579082908746841,"+",-0.821648562723193,0.0318798287117733,"+",0.207457481194544,0.0121126071860964,13,-1234.04,2494.33779036827,6.06231333646974,0.0196675922654721
"3",-24.2375156776475,0.0759756651824275,1.00595215847108,1.22870454803761,-0.0804386816961007,0.595208577357322,"+",-0.878759364782683,0.0350705132779722,"+",NA,0.000750507265125303,12,-1235.54,2495.30080679406,7.02532976225302,0.0121516383653979
